Time,Ws_name,Message
2024-03-15 11:06:00,Tradestation WS,"Heartbeat:104, Timestamp:2024-03-15T10:06:01Z"
2024-03-15 11:06:01,Volumetrica WS,Pong: {}
2024-03-15 11:06:05,Tradestation WS,"Heartbeat:105, Timestamp:2024-03-15T10:06:06Z"
2024-03-15 11:06:06,Volumetrica WS,Pong: {}
2024-03-15 11:06:10,Tradestation WS,"Heartbeat:106, Timestamp:2024-03-15T10:06:11Z"
2024-03-15 11:06:11,Volumetrica WS,Pong: {}
2024-03-15 11:06:15,Tradestation WS,"Heartbeat:107, Timestamp:2024-03-15T10:06:16Z"
2024-03-15 11:06:16,Volumetrica WS,Pong: {}
2024-03-15 11:06:20,Tradestation WS,"Heartbeat:108, Timestamp:2024-03-15T10:06:21Z"
2024-03-15 11:06:21,Volumetrica WS,Pong: {}
2024-03-15 11:06:25,Tradestation WS,"Heartbeat:109, Timestamp:2024-03-15T10:06:26Z"
2024-03-15 11:06:26,Volumetrica WS,Pong: {}
2024-03-15 11:06:30,Tradestation WS,"Heartbeat:110, Timestamp:2024-03-15T10:06:31Z"
2024-03-15 11:06:31,Volumetrica WS,Pong: {}
2024-03-15 11:06:35,Tradestation WS,"Heartbeat:111, Timestamp:2024-03-15T10:06:36Z"
2024-03-15 11:06:36,Volumetrica WS,Pong: {}
2024-03-15 11:06:40,Tradestation WS,"Heartbeat:112, Timestamp:2024-03-15T10:06:41Z"
2024-03-15 11:06:41,Volumetrica WS,Pong: {}
2024-03-15 11:06:45,Tradestation WS,"Heartbeat:113, Timestamp:2024-03-15T10:06:46Z"
2024-03-15 11:06:46,Volumetrica WS,Pong: {}
2024-03-15 11:06:50,Tradestation WS,"Heartbeat:114, Timestamp:2024-03-15T10:06:51Z"
2024-03-15 11:06:51,Volumetrica WS,Pong: {}
2024-03-15 11:06:55,Tradestation WS,"Heartbeat:115, Timestamp:2024-03-15T10:06:56Z"
2024-03-15 11:06:56,Volumetrica WS,Pong: {}
2024-03-15 11:07:00,Tradestation WS,"Heartbeat:116, Timestamp:2024-03-15T10:07:01Z"
2024-03-15 11:07:01,Volumetrica WS,Pong: {}
2024-03-15 11:07:05,Tradestation WS,"Heartbeat:117, Timestamp:2024-03-15T10:07:06Z"
2024-03-15 11:07:06,Volumetrica WS,Pong: {}
2024-03-15 11:07:10,Tradestation WS,"Heartbeat:118, Timestamp:2024-03-15T10:07:11Z"
2024-03-15 11:07:11,Volumetrica WS,Pong: {}
2024-03-15 11:07:15,Tradestation WS,"Heartbeat:119, Timestamp:2024-03-15T10:07:16Z"
2024-03-15 11:07:16,Volumetrica WS,Pong: {}
2024-03-15 11:07:20,Tradestation WS,"Heartbeat:120, Timestamp:2024-03-15T10:07:21Z"
2024-03-15 11:07:21,Volumetrica WS,Pong: {}
2024-03-15 11:07:25,Tradestation WS,"Heartbeat:121, Timestamp:2024-03-15T10:07:26Z"
2024-03-15 11:07:26,Volumetrica WS,Pong: {}
2024-03-15 11:07:30,Tradestation WS,"Heartbeat:122, Timestamp:2024-03-15T10:07:31Z"
2024-03-15 11:07:31,Volumetrica WS,Pong: {}
2024-03-15 11:07:35,Tradestation WS,"Heartbeat:123, Timestamp:2024-03-15T10:07:36Z"
2024-03-15 11:07:36,Volumetrica WS,Pong: {}
2024-03-15 11:07:40,Tradestation WS,"Heartbeat:124, Timestamp:2024-03-15T10:07:41Z"
2024-03-15 11:07:41,Volumetrica WS,Pong: {}
2024-03-15 11:07:45,Tradestation WS,"Heartbeat:125, Timestamp:2024-03-15T10:07:46Z"
2024-03-15 11:07:46,Volumetrica WS,Pong: {}
2024-03-15 11:07:50,Tradestation WS,"Heartbeat:126, Timestamp:2024-03-15T10:07:51Z"
2024-03-15 11:07:51,Volumetrica WS,Pong: {}
2024-03-15 11:07:55,Tradestation WS,"Heartbeat:127, Timestamp:2024-03-15T10:07:56Z"
2024-03-15 11:07:56,Volumetrica WS,Pong: {}
2024-03-15 11:08:00,Tradestation WS,"Heartbeat:128, Timestamp:2024-03-15T10:08:01Z"
2024-03-15 11:08:01,Volumetrica WS,Pong: {}
2024-03-15 11:08:05,Tradestation WS,"Heartbeat:129, Timestamp:2024-03-15T10:08:06Z"
2024-03-15 11:08:06,Volumetrica WS,Pong: {}
2024-03-15 11:08:10,Tradestation WS,"Heartbeat:130, Timestamp:2024-03-15T10:08:11Z"
2024-03-15 11:08:11,Volumetrica WS,Pong: {}
2024-03-15 11:08:15,Tradestation WS,"Heartbeat:131, Timestamp:2024-03-15T10:08:16Z"
2024-03-15 11:08:16,Volumetrica WS,Pong: {}
2024-03-15 11:08:20,Tradestation WS,"Heartbeat:132, Timestamp:2024-03-15T10:08:21Z"
2024-03-15 11:08:21,Volumetrica WS,Pong: {}
2024-03-15 11:08:25,Tradestation WS,"Heartbeat:133, Timestamp:2024-03-15T10:08:26Z"
2024-03-15 11:08:26,Volumetrica WS,Pong: {}
2024-03-15 11:08:30,Tradestation WS,"Heartbeat:134, Timestamp:2024-03-15T10:08:31Z"
2024-03-15 11:08:31,Volumetrica WS,Pong: {}
2024-03-15 11:08:35,Tradestation WS,"Heartbeat:135, Timestamp:2024-03-15T10:08:36Z"
2024-03-15 11:08:36,Volumetrica WS,Pong: {}
2024-03-15 11:08:40,Tradestation WS,"Heartbeat:136, Timestamp:2024-03-15T10:08:41Z"
2024-03-15 11:08:41,Volumetrica WS,Pong: {}
2024-03-15 11:08:45,Tradestation WS,"Heartbeat:137, Timestamp:2024-03-15T10:08:46Z"
2024-03-15 11:08:46,Volumetrica WS,Pong: {}
2024-03-15 11:08:50,Tradestation WS,"Heartbeat:138, Timestamp:2024-03-15T10:08:51Z"
2024-03-15 11:08:51,Volumetrica WS,Pong: {}
2024-03-15 11:08:55,Tradestation WS,"Heartbeat:139, Timestamp:2024-03-15T10:08:56Z"
2024-03-15 11:08:56,Volumetrica WS,Pong: {}
2024-03-15 11:09:00,Tradestation WS,"Heartbeat:140, Timestamp:2024-03-15T10:09:01Z"
2024-03-15 11:09:01,Volumetrica WS,Pong: {}
2024-03-15 11:09:05,Tradestation WS,"Heartbeat:141, Timestamp:2024-03-15T10:09:06Z"
2024-03-15 11:09:06,Volumetrica WS,Pong: {}
2024-03-15 11:09:10,Tradestation WS,"Heartbeat:142, Timestamp:2024-03-15T10:09:11Z"
2024-03-15 11:09:11,Volumetrica WS,Pong: {}
2024-03-15 11:09:15,Tradestation WS,"Heartbeat:143, Timestamp:2024-03-15T10:09:16Z"
2024-03-15 11:09:16,Volumetrica WS,Pong: {}
2024-03-15 11:09:20,Tradestation WS,"Heartbeat:144, Timestamp:2024-03-15T10:09:21Z"
2024-03-15 11:09:21,Volumetrica WS,Pong: {}
2024-03-15 11:09:25,Tradestation WS,"Heartbeat:145, Timestamp:2024-03-15T10:09:26Z"
2024-03-15 11:09:26,Volumetrica WS,Pong: {}
2024-03-15 11:09:30,Tradestation WS,"Heartbeat:146, Timestamp:2024-03-15T10:09:31Z"
2024-03-15 11:09:31,Volumetrica WS,Pong: {}
2024-03-15 11:09:35,Tradestation WS,"Heartbeat:147, Timestamp:2024-03-15T10:09:36Z"
2024-03-15 11:09:36,Volumetrica WS,Pong: {}
2024-03-15 11:09:40,Tradestation WS,"Heartbeat:148, Timestamp:2024-03-15T10:09:41Z"
2024-03-15 11:09:41,Volumetrica WS,Pong: {}
2024-03-15 11:09:45,Tradestation WS,"Heartbeat:149, Timestamp:2024-03-15T10:09:46Z"
2024-03-15 11:09:46,Volumetrica WS,Pong: {}
2024-03-15 11:09:50,Tradestation WS,"Heartbeat:150, Timestamp:2024-03-15T10:09:51Z"
2024-03-15 11:09:51,Volumetrica WS,Pong: {}
2024-03-15 11:09:55,Tradestation WS,"Heartbeat:151, Timestamp:2024-03-15T10:09:56Z"
